id;exemplo1;explicacao1;exemplo2;explicacao2;exemplo3;explicacao3;exemplo4;explicacao4;
11;Se os impostos forem reduzidos, terei mais dinheiro para gastar. Tenho mais dinheiro para gastar. Portanto, os impostos devem ter sido reduzidos.;eu poderia ter mais dinheiro para gastar simplesmente porque desisti do crack-cocaína, do aliciamento de prostitutas e das expedições para caçar focas.;Se estiver marrom, lave-o. Eu dei descarga. Portanto, era marrom.;Não! Eu não precisava seguir a regra “se estiver amarelo, deixe-o amaciar” - na verdade, se eu seguisse essa regra, provavelmente ainda estaria solteiro. A regra declarada é simplesmente “se é marrom” (o antecedente), então (implícito), “lave-o” (o consequente). A partir disso, não podemos insinuar que só podemos enxaguá-lo se estiver marrom. Isso é um erro - uma falácia lógica.;;;;;
12;As pessoas em todos os lugares reconhecem a necessidade de ajudar as crianças famintas do mundo.;Na verdade, as pessoas em todos os lugares não reconhecem isso. Isso pode parecer senso comum para aqueles que fazem a afirmação e para muitos que a ouvem, mas há muitas pessoas nesta terra que não compartilham dessa visão e precisam ser convencidas primeiro.;Todos sabem que, sem a religião de nossa cultura, todos seríamos como ovelhas perdidas.;Todo mundo não sabe disso. Às vezes, sem sair de sua própria esfera social ou cultural, pode parecer que o que você aceita como verdades universais são simplesmente verdades dentro de sua própria esfera social ou cultural. Não assuma verdades universais.;Não há dúvida de que nosso presidente é um grande idiota.;Por mais tentadora que uma afirmação como esta possa ser para alguns aceitarem como verdadeira, ela deve ser reconhecida como a falácia que é. Simplesmente dizer “nosso presidente é um grande idiota” e apoiar essa afirmação com evidências é muito diferente de substituir as evidências por uma declaração de certeza (ou seja, “não há dúvida de que ...”).;;;
13;Na programação CGI, uma interface WYSIWYG não lida muito bem com PHP ou CSS. Se você se inscrever para minha consultoria pessoal, mostrarei como programar de maneira eficaz.;O simples uso excessivo de acrônimos não é o problema aqui, é o uso excessivo deliberado com o propósito de fazer as pessoas pensarem que o palestrante tem muito conhecimento nessa área, ou talvez usar termos que o público desconhece, fazendo o público pensar que precisa do serviço de consultoria mais do que pensava.;Sou bom em falar em público? Vamos ver. Eu tenho um CC, AC-B, AC-S, AC-G, CL, AL-B, AL-S e um DTM. O que você acha?;Todas essas são designações da Toastmasters International. Na verdade, muitos deles têm mais a ver com liderança do que falar, mas o público médio nunca saberia disso. Além disso, receber todos esses prêmios significa apenas que a pessoa fez o trabalho necessário, não que ela seja necessariamente boa em falar em público - como certificados dados na aula de ginástica da quinta série para todas as crianças que fazem mais de seis abdominais.;;;;;
14;Max: Se você não é uma bruxa, não tem nada a temer. Se você não é uma bruxa, você não é feito de madeira, portanto, você afundará e se afogará depois que nós o amarrarmos e o jogarmos no poço. Se você flutuar, então você é feito de madeira, você é uma bruxa e nós vamos enforcá-lo. Glinda: Espere, como é que não tenho nada com que me preocupar se não sou uma bruxa?;O argumento é criado para que qualquer mulher acusada de ser bruxa morra, o que certamente é uma situação em que todos perdem.;Cara trabalhando em um estande no shopping: Com licença, mas parece que você precisa de férias! Você tem alguns minutos para conversar sobre destinos de férias ou prefere que eu apenas envie algumas informações por e-mail?;Claro, outras opções incluem apenas ignorar o cara e continuar andando, dizer ao cara “não, obrigado” e continuar andando, ou responda: “Tenho algum tempo para conversar. Minha taxa é de $ 10 por minuto. Você prefere me pagar em dinheiro ou cheque?;;;;;
15;O presidente é um bom homem e nunca teria traído a esposa e nunca traiu nada no passado.;Claramente, o argumentador não poderia saber disso, a menos que estivesse com o presidente o tempo todo. Podemos assumir que o argumentador tem algum conhecimento especial e achar esse argumento crível quando deveríamos aceitá-lo apenas como uma opinião de alguém que não pode saber o que afirma saber.;Deus quer que amemos uns aos outros, mas ele aceita que matemos uns aos outros se estivermos defendendo nossa terra - ainda assim iremos para o céu.;As alegações de conhecer a mente de Deus são altamente duvidosas. Embora não possamos descartar a ""revelação divina"", precisaríamos pesar essa possibilidade contra a probabilidade de uma crença falsa. ;Larry é puro mal.;Larry pode ser um idiota. Ele pode ter feito muitas coisas ruins. Caramba, ele pode até ter arrancado a etiqueta “não remova sob pena de lei” de seu colchão. No entanto, para fazer reivindicações de mal “puro”, alguém teria que ser Larry. Embora fazer afirmações absolutas sobre uma pessoa como ser “puro mal” possa ser apenas uma hipérbole, se considerarmos a afirmação pelo valor de face, saber que a afirmação é verdadeira exigiria o tipo de onisciência refletida nessa falácia.;;;
16;Diz-se que temos uma boa compreensão do nosso universo. Portanto, sabemos exatamente como começou e exatamente quando.;A ambigüidade aqui é exatamente o que significa “bom entendimento”. A conclusão pressupõe um entendimento muito melhor do que o sugerido na premissa, portanto, temos a falácia da ambigüidade.;Todos os seres vivos vêm de outros seres vivos. Portanto, as primeiras formas de vida devem ter vindo de um ser vivo. Esse ser vivo é Deus.;Este argumento é culpado de dois casos de ambigüidade. Primeiro, o primeiro uso da frase “vem de” refere-se à reprodução, enquanto o segundo uso refere-se à origem. O fato de sabermos bastante sobre reprodução é irrelevante quando se considera a origem. Em segundo lugar, o primeiro uso de “ser vivo” refere-se a um organismo vivo, biológico, empiricamente verificável. O segundo uso de “ser vivo” refere-se à crença em um deus imaterial. Como você pode ver, quando um termo como “ser vivo” descreve um pássaro Dodo, bem como o todo-poderoso mestre do universo, tem muito pouco significado e certamente não é específico o suficiente para tirar conclusões lógicas ou razoáveis.;Bernice: Você apoia o Black Lives Matter?Mildred: Claro que sim!Bernice: Então você deveria me apoiar saqueando aquela loja.Mildred: Espere... o quê?;“Black Lives Matter” é uma ideologia política que evoluiu de uma simples declaração. Como todas as ideologias, tem muitos ramos que vão do moderado ao extremo. Bernice claramente tem um conceito diferente de Black Lives Matter do que Mildred. Pode-se ter uma discussão sobre quem está pervertendo a ideologia (vimos isso entre diferentes cristãos por milênios), mas o ponto permanece que o que significa “apoiar o Black Lives Matter” tornou-se obscuro.;;;
17;Você sabe, eles dizem que se você engolir chiclete leva sete anos para digerir. Portanto, faça o que fizer, não engula o chiclete!;“Eles” estão errados como “eles” geralmente estão. A goma passa pelo sistema relativamente inalterada, mas não fica por aí por 7 anos como um estudante universitário com medo de conseguir um emprego. “Eles” é uma forma comum de apelo à autoridade anônima.;O universo de 13,7 bilhões de anos é uma grande conspiração. Eu li este artigo uma vez onde esses cientistas notáveis encontraram fortes evidências de que o universo foi criado há 6.000 anos, mas por perderem seus empregos, eles foram forçados a ficar quietos!;Sem saber quem são esses cientistas, ou a credibilidade da fonte do artigo, não podemos verificar as evidências, portanto, não devemos aceitar a evidência.;;;;;
18;Como ousa matar essas cenouras!;Assassinato se aplica a humanos, não a cenouras. Por definição, não se pode matar cenouras. Neste exemplo, supõe-se que as cenouras tenham as características humanas que tornam o assassinato “assassinato” e não apenas “matar” ou “comer”.;Akoni: A deusa polinésia do fogo, Pele, sacrificou sua própria filha no vulcão para trazer paz às ilhas. É assim que sei que ela nos ama. Ubon: Os deuses e deusas não são imortais? Akoni: Err, sim. Ubon: Então o que aconteceu com a filha de Pelé depois que ela foi jogada no vulcão? Akoni: Ela se reuniu com Pelé nos céus. Ubon: Então, por que isso foi um sacrifício?;A deusa Pele e sua filha recebem a qualidade humana da fragilidade da vida para que o conceito de “sacrifício” seja significativo.;;;;;
19;Já estive no quarteirão muitas vezes e tive minha parcela de sucesso. Portanto, acredite em mim quando digo que não há passatempo melhor do que fazer malabarismos com gatos.;Todos podemos admirar a realização e o sucesso, mas isso é irrelevante para o malabarismo. Existem muitas pessoas realizadas e bem-sucedidas que são imorais, mesquinhas, insensíveis, odiosas, mentirosas, infelizes e simplesmente erradas sobre muitas coisas.;Sou doutor em teologia, escrevi 12 livros e conheci pessoalmente o Papa. Portanto, quando digo que o lanche favorito de Jesus eram passas mergulhadas em vinho, você deve acreditar em mim.;Embora as credenciais de quem fez a declaração sejam certamente impressionantes, de forma alguma essas credenciais dão credibilidade à crença de que o lanche favorito de Jesus eram passas mergulhadas em vinho.;;;;;
20;Você está cansado de ser ignorado pelo seu governo? É certo que o 1% do topo tem tanto quando o resto de nós tem tão pouco? Peço que votem em mim hoje!;Esta é uma tática comum para jogar com as emoções dos outros para levá-los a fazer o que você quer que eles façam. O fato é que nenhuma evidência foi fornecida ou nenhuma reclamação foi feita ligando seu voto ao desaparecimento dos problemas. O político espera que você faça a conexão, enquanto ela pode alegar inocência no caminho, quando as pessoas tentarem obrigar o político a cumprir uma promessa que ela realmente nunca fez.;Como você pode pensar que os humanos evoluíram dos macacos! Minha babá parece um macaco para você?;Ignorando o fato de que não evoluímos dos macacos (compartilhamos um ancestral comum com os macacos africanos modernos), o fato de o argumentador estar obviamente ofendido é irrelevante para os fatos.;;;;;
21;Richard Dawkins, um biólogo evolutivo e talvez o maior especialista na área, diz que a evolução é verdadeira. Portanto, é verdade.;Richard Dawkins certamente conhece a evolução e pode nos dizer com confiança que é verdade, mas isso não a torna verdadeira. O que a torna verdadeira é a preponderância de evidências para a teoria.;Como sei que a indústria de filmes adultos é a terceira maior indústria dos Estados Unidos? Derek Shlongmiester, o astro do cinema adulto de mais de 50 anos, disse que sim. É assim que eu sei.;Shlongmiester pode ser um especialista do setor, além de ter um grande talento, mas uma afirmação como a feita exigiria evidências de apoio. Só para constar, a indústria de filmes adultos pode ser grande, mas em uma escala de 0 a 12 polegadas, é apenas uma fração de polegada.;;;;;
22;Tom Cruise diz na TV que Billy Boy Butter é a manteiga mais saborosa que existe. Tom Cruise é incrível - especialmente no MI4, quando ele escalou aquele prédio com apenas uma luva de sucção, portanto, Billy Boy Butter é a manteiga com o melhor sabor que existe!;Tom Cruise pode ser incrível, e talvez ele realmente ache que Billy Boy Butter é a manteiga mais saborosa que existe, mas Tom não é mais uma autoridade no sabor da manteiga do que qualquer outra pessoa, portanto, aceitar a alegação sem qualquer outra evidência ou razão é falacioso.;Mike Seaver daquela sitcom dos anos 80, “Growing Pains”, é muito legal. Ele agora é um cristão nascido de novo e apologista da fé. Portanto, você deve realmente acreditar no que ele tem a dizer!;Mike Seaver é incrível, mas Kirk Cameron, o ator que interpreta esse personagem? Mesmo que Kirk fosse superenganador (o que ele pode ser, eu não o conheço), suas opiniões sobre a verdade da religião são igualmente válidas como a sua, ou a de qualquer outra pessoa que determine o que ele ou ela considera ser a verdade por meio da fé.;;;;;
23;Após o ataque terrorista à cidade, os cidadãos ficaram indignados e queriam justiça. Então eles prenderam um homem muçulmano sem álibi que parecia suspeito e o acusaram do crime.;;Art: Por que não deu certo entre você e Marci?Steve: Acontece que ela era lésbica.Art: Você sabia que ela e Jack acabaram de se casar?Steve: [sente um duro golpe em seu ego];ouvi de Suzi que disse a Tanya, que disse a Jennifer que Marci simplesmente achava que Steve era um idiota, mas deu a ele a clássica frase de separação: ""não é você, sou eu"". Steve, sendo o macho alfa que é, não conseguiu lidar com esse trauma psicológico de não ter uma resposta firme para o motivo pelo qual Marci não queria ficar com ele, baseado no fato de que Marci uma vez comentou que uma supermodelo tinha “bonito olhos”, Steve colocou o assunto de lado ao descartar Marci como lésbica. Steve descobriu que chamar Marci de lésbica era, na verdade, apenas ele projetando seus próprios desejos homossexuais em Marci. Hoje, Steve vive feliz com seu parceiro, Raúl, e seu gato persa branco, o Sr. Muffins. Explicação: Infelizmente, crimes não solucionados são ruins politicamente para os responsáveis e com base no número e porcentagem de prisões falsas, fica claro que apelar para o fechamento tem algumas consequências sérias para muitas pessoas inocentes. ;;;;;
24;Bill: Steve, lamento dizer, mas você é um péssimo motorista! Steven: Por que você diz isso? Bill: Este é o seu décimo quarto acidente este ano. Steve: Foi apenas um ano de azar para mim.;Com base em normas estatísticas, é muito claro que qualquer pessoa que se envolva em quatorze acidentes em um único ano tem um problema de segurança como motorista. Ignorar esse fato óbvio e descartá-lo como “azar” é visto como um apelo à coincidência.;Mom: Esta é a oitava vez que você foi enviado para o escritório do diretor este ano. A diretora me disse que viu você mais vezes em seu escritório do que qualquer outro aluno. Por que é isso? Dwight: Acontece que um professor se aproxima furtivamente de mim sempre que estou fazendo algo contra as regras, o que não acontece com mais frequência do que qualquer outro aluno.;Dwight é um encrenqueiro -- isso está bem claro. Em vez de enfrentar os fatos, ele está apelando para a coincidência, sugerindo que é pego com mais frequência devido ao momento errado.;;;;;
25;Até o final do século 16, a maioria das pessoas acreditava que a Terra era o centro do universo. Isso foi visto como motivo suficiente na época para aceitar isso como verdade.;O modelo geocêntrico era uma observação (limitada) e baseada na fé, mas a maioria que aceitou o modelo o fez com base na crença comum e aceita da época, não em suas próprias observações, cálculos e/ou raciocínio. Foram pessoas como Copérnico, Galileu e Kepler, que se recusaram a apelar para a crença comum e descobriram uma verdade não óbvia para o resto da humanidade.;Mark: Você acredita em nascimentos virgens? Sue: Você quer dizer que os bebês nascem virgens? Mark: Quero dizer nascimento sem fertilização. Sue: Não. Aproximadamente dois bilhões de pessoas acreditam neles, você não acha que deveria reconsiderar sua posição?;Qualquer um que acredita em nascimentos virginais não tem evidência empírica para sua crença. Esta é uma afirmação aceita pela fé, que é uma forma individual e subjetiva de aceitar informações, que não deve afetar suas crenças. Não se esqueça de que houve um tempo em que as crenças comuns incluíam uma terra plana, um universo centrado na terra e a possessão demoníaca como a causa da maioria das doenças.;;;;;
26;Meus compatriotas americanos, sou como vocês. Claro, tenho alguns jatos particulares e casas em doze países, mas visto uma perna de cada vez, como vocês, pessoas comuns. Portanto, acredite em mim quando digo que esse aumento de impostos para o povo comum é exatamente o que todos nós precisamos.;Não há razão válida para o aumento de impostos.;Você não quer um cachorro-quente e cerveja? Comer cachorro-quente e beber cerveja em um jogo de beisebol é a coisa americana a se fazer.;Aqui a pessoa que argumenta está apelando para a tradição do povo comum.;;;;;
27;É senso comum que se você bater em seus filhos, eles vão parar com o mau comportamento. Então não me diga para não bater nos meus filhos.;O que geralmente é aceito como ""senso comum"" é factualmente incorreto ou problemático. Embora bater em seus filhos possa interromper seu mau comportamento atual, os efeitos negativos psicológicos e comportamentais de longo prazo podem superar em muito os benefícios temporários. Falando logicamente, o exemplo simplesmente apela ao ""senso comum"" em vez de tentar um argumento forte. ;Don: Se você beber álcool, ele matará qualquer vírus que você possa ter. Tony: Que evidência você tem para apoiar isso? Don: Eu não preciso de provas. É senso comum.;Como usamos álcool para limpar os vírus de nossa pele, pode ser “senso comum” que ele também limpe nosso interior. Mas este não é o caso. Primeiro, o álcool precisa ser de alta concentração, como 60% ou mais para ser eficaz. Em segundo lugar, não faz nada para matar um vírus em seu corpo. Terceiro, Don precisa de evidências se está tentando convencer Tony de que está certo, e deve exigir evidências para si mesmo antes de se envolver em um comportamento arriscado por causa do que acredita ser “bom senso”.;FlatSam: O senso comum nos diz que se a Terra fosse uma esfera, as pessoas no fundo cairiam.ReasonEric: Não acho que você consiga fazer referência a algo que claramente não tem.;FlatSam está tentando justificar seu argumento implícito (a terra é plana) apelando para o “bom senso”. Ele parece estar oferecendo uma razão (ou seja, as pessoas que estão no fundo cairiam), mas essa razão é em si uma afirmação “apoiada” pelo apelo ao bom senso.;;;
28;Bill the Eye Guy: O desenvolvimento do olho é monofilético, o que significa que eles têm suas origens em um proto-olho que evoluiu há cerca de 540 milhões de anos. Múltiplos tipos e subtipos de olhos desenvolvidos em paralelo. Sabemos disso em parte porque os olhos de vários animais mostram adaptação às suas necessidades. Toby: Uh, isso parece inventado. Eu não acho que o olho poderia ter evoluído.;Sim, a evolução do olho é confusa para não biólogos e para aqueles que não estão familiarizados com a teoria da evolução e a seleção natural. Mas a complexidade desse argumento não é motivo para rejeitá-lo ou considerá-lo menos crível do que uma afirmação mais simples (por exemplo, Zeus criou olhos de barro).;Se um leigo critica uma política complexa sobre a qual não sabe nada ou sabe muito pouco, provavelmente está apelando para a complexidade.;O pensamento preto e branco é encontrado onde alguém tem falta de conhecimento sobre um tópico. Políticas como a saúde nacional são incrivelmente complexas, onde cada mudança tem vantagens e desvantagens. Os não-especialistas geralmente descartam um documento de 1.000 páginas e dizem algo como: ""Olha, é simples. Faça isso, isso e isso. Problema resolvido"". Não, não é simples, e isso não resolveria o problema. ;;;;;
29;;;;;Se não houver livre arbítrio, não estaremos no controle de nossas ações. Se isso for verdade, todo o nosso sistema de justiça seria seriamente falho. Isso seria muito ruim, portanto, o livre-arbítrio deve existir.;O argumento do “livre-arbítrio” existe há milhares de anos, e talvez nunca saibamos quão livres realmente somos para tomar decisões. Muitos filósofos reconhecem esse problema, bem como as consequências de não acreditar no livre-arbítrio. Por esta razão, alguns sugerem que devemos apenas aceitar o livre-arbítrio como sendo verdadeiro. Embora agir como se tivéssemos livre-arbítrio possa levar a um resultado melhor, na verdade acreditar que o livre-arbítrio é verdadeiro por causa das consequências é um comprometimento da integridade racional de alguém.;;;
30;Ken: Você acha que o casamento gay deveria ser legalizado? Paulo: Absolutamente não! O casamento é definido como a união entre um homem e uma mulher – não entre dois homens ou duas mulheres! Ken: Você sabia que em 1828 a definição de casamento do dicionário incluía “para assegurar o sustento e a educação dos filhos”? Isso significa que todos os casais que não podem ou optam por não ter filhos não são realmente casados? Paul: Não, significa apenas que eles precisam comprar dicionários atualizados. Ken: Assim como você. O atual Dicionário Merriam-Webster inclui como definição secundária, “o estado de estar unido a uma pessoa do mesmo sexo em um relacionamento como o de um casamento tradicional”.;O dicionário não resolve questões controversas como o casamento gay – ele simplesmente relata a definição aceita mais atual do termo enquanto geralmente tenta permanecer neutro em tais questões controversas.;Armondo: A Sra. Patterson errou ao tirar 10 pontos da minha apresentação oral porque continuei usando a palavra “ereção” em vez de construção. Felix: Isso foi hilário, mas você honestamente achou que não teria problemas? Armondo: Não, meu dicionário diz que uma ereção é um edifício.;Armondo pode estar certo, mas o dicionário não é a autoridade final em todas as questões, especialmente comportamento social. O uso mais moderno, especialmente em um ambiente de ensino médio, tem precedência neste caso.;;;;;
31;Estes são tempos desesperados, e tempos desesperados exigem medidas desesperadas. Portanto, proponho que exterminemos todos os filhotes de foca. É óbvio que algo deve ser feito, e isso é alguma coisa.;Nenhuma razão é dada para que devamos exterminar todos os filhotes de foca. Talvez a razão seja que todos eles têm um vírus que se espalhará para a raça humana e matará todos nós, talvez exterminar todos os filhotes de foca deixe mais peixes para os humanos, ou talvez exterminar todos os filhotes de foca seja uma maneira de acabar com a espancamento de focas bebês - mas sem essas ou quaisquer outras razões dadas, não temos nada para continuar, exceto o desespero de que algo deve ser feito.;Presidente: Estamos sem dinheiro na segunda-feira. Alguma sugestão? Felix: Sugiro que peguemos o dinheiro que temos e vamos para a Disney World. Presidente: Alguma outra sugestão? (silêncio) Presidente: Como não há outras sugestões, é Disney World.;Tempos de desespero não exigem necessariamente qualquer medida em vez de nenhuma medida. Muitas vezes, nenhuma ação é melhor do que uma má ação. Gastar o dinheiro que sobrou em refrigerantes caros e no que parecem ser pernas de avestruz assadas pode não ser uma escolha sábia - especialmente quando há investidores envolvidos.;;;;;
