titulo;termoLatim;outrosNomes;novasTerminologias;descricao;formaLogica;exemplo1;explicacao1;exemplo2;explicacao2;exemplo3;explicacao3;exemplo4;explicacao4;excecao;curiosidades;variacao;dica;referencias;
Apelo à Lealdade;;(também conhecido como: apelo ao patriotismo [forma de]) ;;Descrição: Quando alguém é implícita ou explicitamente encorajado a considerar a lealdade ao avaliar o argumento quando a verdade do argumento é independente da lealdade. Alternativamente, considera-se a lealdade ao concluir que o argumento é verdadeiro, falso ou não vale a pena investigar. ;Forma Lógica: X é leal a Y.Y faz falsa afirmação de Z. Portanto, X aceita Z como verdadeiro devido à lealdade de X a Y. Y faz falsa alegação de Z. Está implícito que discordar de Y é desleal. Portanto, X não questiona a alegação de Z por lealdade. ;Exemplo #1: Líderes de culto parecem ter um nível mágico de influência sobre seus seguidores. Eles não podem fazer nada errado, e tudo o que eles dizem deve ser verdade. Essa mentalidade é reforçada por recompensas e punições relacionadas à lealdade. Quando Jim Jones afirmou que forças hostis converteriam crianças capturadas do culto ao fascismo, nenhuma verificação de fatos foi envolvida. Por lealdade ao líder, os seguidores de Jones argumentaram que o suicídio era uma alternativa melhor e “beberam o Kool-Aid” (Flavor Aid). Novecentos e nove habitantes de Jonestown morreram de aparente envenenamento por cianeto. Trezentos e quatro deles eram crianças. ;;Exemplo #2: Liberal Friend: Publica citações falsas alegadamente de um conservador. Eu: Pede uma fonte porque a citação é inacreditável. Liberal Friend: Recusa-se a procurar a fonte porque “parece algo que [este conservador] diria”. ;Explicação: Embora meu amigo liberal não insistisse que a citação era verdadeira, ele se recusou a investigá-la mais por lealdade à sua posição ideológica. Tanto na política quanto na religião, as pessoas nas mídias sociais aceitam ou rejeitam informações acriticamente com base na lealdade à sua ideologia. Estes são argumentos implícitos em vez de argumentos explícitos. A implicação é que, como a informação está de acordo com/vai contra a ideologia da pessoa, ela deve ser verdadeira/falsa. Essa é uma forma de viés de confirmação aplicada a um argumento específico. ;;;;;Exceção: Não há falácia quando alguém afirma seguir alguém ou apoiá-lo por lealdade, a falácia é cometida quando a lealdade é considerada em sua avaliação de uma alegação de verdade. ;;;Dica: Seja fiel à verdade e à razão, mesmo que isso seja visto como deslealdade a uma ideologia. ;Referências: Esta é uma falácia lógica frequentemente usada na Internet. Nenhuma fonte acadêmica foi encontrada. ;
Apelo à Natureza;Argumentum ad Naturam;;;Descrição: Quando usado como falácia, a crença ou sugestão de que “natural” é melhor que “antinatural” com base em sua naturalidade. Muitas pessoas adotam isso como uma crença padrão. É a crença de que o que é natural deve ser bom (ou qualquer outro julgamento avaliativo positivo) e o que não é natural deve ser ruim (ou qualquer outro julgamento avaliativo negativo). A falácia do apelo à natureza é muitas vezes confundida com a falácia naturalista e a falácia moralista porque são bastante semelhantes. O apelo à natureza, no entanto, refere-se especificamente a “natural” ou “antinatural” e também pode fazer um julgamento não moral como “bonito” ou “destrutivo”. ;Formas Lógicas: X é natural. Y não é natural. Portanto, X é melhor que Y. Aquilo que é natural é bom, correto, belo, etc. X é natural. Portanto, X é bom, certo, bonito, etc. Aquilo que não é natural é mau, errado, destrutivo, etc. X não é natural. Portanto, X é ruim, errado, destrutivo, etc. Eu compro na Natural Happy Sunshine Store (NHSS), que é muito melhor do que a sua mercearia porque na NHSS tudo é natural, incluindo os longos cabelos grisalhos e os seios flácidos do gerente da loja de 38 anos. Explicação: Eu posso apreciar alimentos e produtos naturais tanto quanto qualquer outro comedor de granola, mas para fazer qualquer afirmação de “melhor”, é preciso estabelecer critérios para julgar. Talvez não pagar quase o dobro pelos mesmos alimentos gerais seja “melhor” para mim. Talvez eu prefira um pouco de inseticida na minha maçã a insetos dentro da minha maçã, e talvez eu goste de morenas falsas com seios empinados devido ao suporte “não natural” do sutiã. Natural nem sempre é “melhor”. ;;;Exemplo #2: A cocaína é totalmente natural, portanto, é bom para você. ;Explicação: Existem muitas coisas neste mundo que são “totalmente naturais” e muito ruins para você além da cocaína, incluindo terremotos, monções e vírus, só para citar alguns. Ao passo que coisas “não naturais” como aspirina, marcapassos e cirurgia podem ser coisas muito boas. ;;;;;Exceção: Existem muitas coisas naturais que são melhores que as não naturais, mas devem ser avaliadas com base em outros critérios além da “naturalidade”. ;Curiosidade: a Mãe Natureza é o tipo de mãe que não hesitaria em jogá-lo em uma lixeira e deixá-lo lá para morrer. ;Variação: A falácia naturalista pode ser vista como um subconjunto do apelo à natureza, ou uma versão mais específica que faz uma afirmação de valor moralista em vez da afirmação mais genérica de bondade. Por exemplo, dizer que a cocaína faz bem porque é natural é um exemplo do apelo à natureza. Isso não tem nada a ver com moralidade, mas com saúde. Dizer que o comportamento poliamoroso (ter múltiplos parceiros sexuais) é moralmente bom porque parece estar de acordo com nossas tendências naturais é um exemplo da falácia naturalista. Se alguém dissesse que o primeiro exemplo era um exemplo da falácia naturalista, estaria incorreto. Se alguém argumentasse que o segundo é um exemplo do apelo à natureza, eles não estariam errados (se estivessem equiparando ações morais com bondade), mas poderiam ser mais precisos. Assim como alguns cães são dinamarqueses, mas nem todos os cães são dinamarqueses, alguns apelos à natureza podem ser falácias naturalistas, mas nem todos os apelos à natureza são falácias naturalistas. ;;Referências: ;
Apelo à Normalidade;;;;Descrição: Usar normas sociais para determinar o que é bom ou ruim. É a ideia de que a normalidade é o padrão da bondade. Isso é falacioso porque as normas sociais não são as mesmas normas encontradas na natureza ou normas que são sinônimos da função ideal de um sistema criado. A conclusão, "portanto, é bom" muitas vezes não é dita, mas está claramente implícita. ;Formas Lógicas: X é considerado um comportamento normal. Portanto, X é um bom comportamento. X não é considerado um comportamento normal. Portanto, X é um comportamento ruim. X é considerado comportamento normal. Portanto, devemos buscar X (normalidade). ;Exemplo 1: Eu sou apenas um pouco obeso. Isso é perfeitamente normal aqui na América. ;Explicação: A pessoa está correta ao dizer que ser ligeiramente obeso é considerado normal na América. De forma alguma isso é uma coisa boa por praticamente qualquer medida de bondade. Atletas e aqueles que priorizam sua saúde e condicionamento físico estão longe de ser normais, mas ver esse nível de saúde e condicionamento físico como ruim é claramente falacioso. ;Exemplo #2: Por que Tim não consegue um emprego de verdade como as pessoas normais, em vez de tentar lançar aquele negócio na Internet em casa? ;Explicação: Tim não é como as pessoas normais quando se trata de trabalho - ele faz parte da minoria que sonha alto e segue seus sonhos. Tim pode torná-lo grande ou não. Sem os Tim's do mundo, as pessoas normais não teriam onde conseguir um "emprego de verdade". ;;;;;Exceção: há circunstâncias em que o comportamento excêntrico ou incomum é claramente problemático. Estas são situações em que mesmo pequenos desvios da norma demonstraram ter resultados negativos, e a “maldade” implícita do comportamento não precisa de justificativa. Meu pai foi preso novamente tomando banho de sol nu em um parque público enquanto tropeçava em ácido... durante uma tempestade de neve. Isso não é normal. Outra exceção é quando "normal" é usado de forma a equilibrar o comportamento social negativo. Por exemplo, uma mãe pode gritar com seu filho malcomportado para "agir normalmente" em uma casa aberta da escola. Não há nenhuma implicação aqui de que ser "normal" seja o comportamento ideal, apenas uma melhoria imediata e realista do comportamento atual. ;;;Dica: Na maioria das vezes, ser "normal" ou "mediano" não é motivo de orgulho. Seja melhor que a média. ;Referências: Esta é uma falácia lógica original nomeada pelo autor. ;
Apelo à novidade;argumentum ad novitatem;(também conhecido como: apelo ao novo, ad novitam [às vezes escrito como]) ;;Descrição: Afirmar que algo novo ou moderno é superior ao status quo, baseado exclusivamente em sua novidade. ;Forma Lógica: X já existe há anos. Y é novo. Portanto, Y é melhor que X. ;Exemplo #1: Duas palavras: New Coke. ;Explicação: Quem viveu a crise de identidade da Coca-Cola em meados dos anos 80 sabe a bagunça que foi para a empresa. Na verdade, o “New Coke Disaster”, como é comumente referido, é literalmente um exemplo clássico de tentativa de consertar o que não está quebrado. A principal jogada de marketing da Coca-Cola era apelar para a novidade, e falhou miseravelmente - embora mais pessoas (55%) realmente preferissem o sabor da New Coke, a antiga era "melhor". ;Exemplo #2: Bill: Ei, você ouviu que temos um novo sistema operacional agora? É melhor do que qualquer outra coisa porque acabamos de lançá-lo! Steve: Como se chama? Bill: Windows Vista! Steve: Parece maravilhoso! Mal posso esperar até que todos os seus usuários o instalem em todos os seus computadores! ;Explicação: Para qualquer um que tenha passado pela experiência do Vista, essa falácia deve atingir muito perto de casa. Você provavelmente estava assumindo que estava adquirindo um produto superior ao seu antigo sistema operacional - você estava pensando em "atualizar" quando, na verdade, aqueles que permaneceram com o status quo (Windows XP) estavam muito melhor. ;;;;;Exceção: há exceções óbvias, como afirmar que seu leite fresco é melhor do que o leite de um mês que agora está crescendo na geladeira. ;;;Dica: Dietas e programas/gadgets de exercícios são notórios por atacar nosso desejo por novidades. Não se deixe influenciar pelas “pesquisas mais recentes” ou pelos últimos modismos. Apenas lembre-se disso: queime mais calorias do que ingere e você perderá peso. ;Referências: ;
Apelo à Piedade;ad misericordiam;(também conhecido como: apelo à simpatia, apelo à vitimização [forma de]) ;;Descrição: A tentativa de desviar a atenção da verdade da conclusão pelo uso da piedade. ;Formas Lógicas: A pessoa 1 é acusada de Y, mas a pessoa 1 é patética. Portanto, a pessoa 1 é inocente. X é verdadeiro porque a pessoa 1 trabalhou muito para tornar X verdadeiro. ;Exemplo 1: Eu realmente mereço um "A" neste papel, professor. Não apenas estudei durante o funeral da minha avó, mas também recusei a cirurgia de transplante de coração, mesmo sendo o primeiro doador compatível em 3 anos. ;Explicação: O aluno merece um “A” pelo esforço e dedicação mas, infelizmente, os trabalhos não são avaliados dessa forma. O fato de termos pena dela não tem nada a ver com a qualidade do trabalho escrito, e se ajustássemos a nota por causa das histórias tristes, teríamos sido vítimas do apelo à pena. ;Exemplo #2: Ginger: Seu cachorro acabou de entrar correndo em nossa casa e revirou nossa cozinha! Mary: Ele nunca faria isso, olha como ele é adorável com esses olhos de cachorrinho! ;Explicação: Ser patético não absolve ninguém de seus crimes, mesmo quando ele é um cachorrinho ridiculamente adorável. ;;;;;Exceção: como qualquer argumento, se for acordado que a lógica e a razão devem ficar em segundo plano em relação à emoção, e não houver nenhuma afirmação de verdade objetiva sendo feita, mas sim uma opinião sobre algo que deve ou não ser feito, então pode escapar da falácia. Não vamos bater no Spot por vasculhar a cozinha do vizinho - ele é muito fofo! ;;Variação: o apelo à vitimização usa uma forma de piedade para estabelecer a inocência da vítima ou sugerir que a vítima tem a verdade do seu lado. Esta é uma aplicação do efeito halo, onde as vítimas tendem a ser vistas de forma positiva, portanto, o que está associado à vítima (por exemplo, sua inocência ou suas reivindicações) também é visto como positivo (irrazoável e sem provas). ;Dica: Evite a piedade na argumentação. É um indicador claro de que você tem evidências fracas para seu argumento. ;Referências: ;
Apelo à popularidade;argumentum ad numeram;;;Descrição: Usar a popularidade de uma premissa ou proposição como prova de sua veracidade. Esta é uma falácia muito difícil de detectar porque o nosso “bom senso” nos diz que se algo é popular, deve ser bom/verdadeiro/válido, mas não é assim, especialmente em uma sociedade onde o marketing inteligente, as políticas sociais e peso e dinheiro podem comprar popularidade. ;Forma Lógica: Todo mundo está fazendo X. Portanto, X deve ser a coisa certa a fazer. ;Exemplo 1: O mormonismo é uma das seitas do cristianismo que mais cresce hoje, então toda a história sobre Joseph Smith recebendo as placas de ouro que, infelizmente, desapareceram de volta ao céu, deve ser verdade! ;Explicação: O mormonismo está de fato crescendo rapidamente, mas esse fato não prova a veracidade das afirmações feitas pelo mormonismo de forma alguma. ;Exemplo #2: Uma pesquisa Gallup de 2005 descobriu que cerca de 25% dos americanos com mais de 18 anos acreditam em astrologia - ou que a posição das estrelas e planetas pode afetar a vida das pessoas. Isso é aproximadamente 75.000.000 de pessoas. Portanto, deve haver alguma verdade na astrologia! ;Explicação: Não, a popularidade da crença na astrologia não está relacionada à veracidade das afirmações astrológicas. As crenças geralmente são memes culturais que são transmitidos de pessoa para pessoa com base em muitos fatores além da verdade. ;;;;;Exceção: Quando a reivindicação feita é sobre a popularidade ou algum atributo relacionado que seja resultado direto de sua popularidade. As pessoas parecem amar o filme The Shawshank Redemption. Na verdade, está atualmente em primeiro lugar no IMDB.com, com base nas avaliações dos espectadores. ;;;Dica: Evite essa falácia como você evita um beijo de sua tia-avó com a grande afta no lábio. ;Referências: ;
Apelo à Possibilidade;;;;Descrição: Quando uma conclusão é assumida não porque provavelmente é verdadeira, mas porque é possível que seja verdadeira, não importa quão improvável seja. ;Formas Lógicas: X é possível. Portanto, X é verdadeiro. X é possível. Portanto, X é provavelmente verdadeiro. ;Exemplo 1: Brittany: Não me inscrevi em nenhuma outra faculdade além de Harvard. Casey: Você acha que é uma boa ideia? Afinal, você só tem um GPA de 2,0, suas pontuações no SAT foram muito ruins e, francamente, a maioria das pessoas pensa que você não está jogando com um baralho completo. Brittany: Você está me dizendo que é impossível para mim entrar? Casey: Não *impossível*, mas... Brittany: Então cale a boca. ;Explicação: Sim, é possível que Harvard aceite Brittany para preencher alguma cota de simpatia, ou talvez alguém nas admissões misture Brittany com “Britney”, a asiática de 16 anos com média de 4,0 que também descobriu uma vacina para um gripe rara em seu tempo livre, mas porque Brittany está apelando para a possibilidade, ela está cometendo essa falácia. ;Exemplo #2: Dave: Você sabia que Jesus gostava de se vestir de mulher e cantar músicas de shows? Tim: E por que você diz isso? Dave: Você tem que admitir, é possível! Tim: Assim como o fato de você ser um idiota. ;Explicação: Não podemos assumir que Jesus gostava de se vestir como uma mulher enquanto cantava músicas de 2.000 anos com base apenas na possibilidade. Isso também inclui o argumento da falácia da ignorância - concluindo uma possibilidade com base na falta de informações (uma declaração direta de que Jesus não fez essas coisas). ;;;;;Exceção:  Não há exceções. A possibilidade sozinha nunca justifica a probabilidade. ;;;Dica: Preste atenção toda vez que estiver prestes a usar a palavra “impossível”. Sim, há muitas coisas que são lógica e fisicamente impossíveis, e é um conceito e uma palavra válidos, mas muitas vezes usamos essa palavra quando realmente queremos dizer "improvável". Confundir o impossível com o improvável ou improvável pode, em muitos casos, destruir a possibilidade de um grande sucesso. ;Referências: Esta é uma falácia lógica frequentemente usada na Internet. Nenhuma fonte acadêmica foi encontrada. ;
Apelo ao Ridículo;reductio ad ridiculum;(também conhecido como: apelo à zombaria, a risada do cavalo) ;;Descrição: Apresentar o argumento de forma a torná-lo ridículo, geralmente deturpando o argumento ou usando exageros. ;Forma Lógica: A pessoa 1 afirma que X é verdadeiro. A pessoa 2 faz X parecer ridículo ao deturpar X. Portanto, X é falso. ;Exemplo 1: É preciso fé para acreditar em Deus, assim como é preciso fé para acreditar no coelhinho da Páscoa - mas pelo menos o coelhinho da Páscoa é baseado em uma criatura que realmente existe! ;Explicação: Comparar a crença em Deus com a crença no Coelhinho da Páscoa é uma tentativa de ridículo e não é um bom argumento. Na verdade, esse tipo de falácia geralmente mostra desespero naquele que comete a falácia. ;Exemplo #2: A evolução é a ideia de que os humanos vêm da escória do lago. ;Explicação: É ridículo pensar que viemos da escória do lago, e isso não é verdade. É mais correto dizer que viemos de estrelas explosivas, pois cada átomo em nossos corpos já esteve em uma estrela. Ao criar uma imagem ridícula e enganosa, a alegação de verdade do argumento é negligenciada. ;;;;;Exceção: É legítimo usar o ridículo quando uma posição é digna de ridículo. Esta é uma proposição arriscada, no entanto, por causa da subjetividade de que tipo de argumento é realmente digno de ridículo. Como vimos, o ridículo mal colocado pode parecer um sinal de desespero, mas o ridículo colocado com cuidado pode ser um movimento espirituoso que pode funcionar logicamente e conquistar o público emocionalmente também. Matt: Seu tolo de mente fechada! Ver não é acreditar, acreditar é ver! Cindy: Isso vale para o coelhinho da Páscoa também, ou apenas para os seres imaginários de sua escolha? ;;;Dica: faça o possível para manter a compostura quando alguém cometer essa falácia às suas custas. Lembre-se, eles é que cometeram o erro de raciocínio. Mostre isso a eles com tato. ;Referências: ;
Apelo à Verdade Autoevidente;;;;Descrição: Fazer a afirmação de que algo é "auto-evidente" quando não é auto-evidente em vez de argumentar uma afirmação com a razão. Em termos cotidianos, algo é "auto-evidente" quando entender o que significa imediatamente resulta em saber que é verdadeiro, como 2+2=4. O conceito de auto-evidência é contestado e discutido entre os filósofos com base em suas ideias de epistemologia. Isso significa que o que é "auto-evidente" para uma pessoa não é necessariamente auto-evidente para outra. No entanto, algumas ideias são claramente evidentes e outras não. ;Forma Lógica: A pessoa 1 afirma Y sem evidências. A pessoa 2 pede evidências. A pessoa 1 afirma que Y é auto-evidente. ;Exemplo 1: Richie: Lorde Xylon é o verdadeiro governante do universo. Toby: Por que você acha isso? Richie: É evidente. ;Explicação: As pessoas frequentemente confundem seus próprios sentimentos e interpretações subjetivos com evidências. Richie pode acreditar que Lord Xylon é o verdadeiro governante do universo, mas sua crença não pode ser usada como evidência. ;Exemplo #2: Sara: Nenhum ser humano deveria matar outro ser humano. Dottie: Por que não? Sara: É evidente. ;Explicação: A falácia está na alegação implícita de que o argumento não precisa de evidência ou explicação porque é "auto-evidente". ;;;;;Exceção: Esta falácia depende da alegação de que a “autoevidência” não é autoevidente. Uma afirmação de que é razoavelmente auto-evidente não seria falaciosa: Richie: Eu existo. Toby: Por que você acha isso? Richie: É evidente. ;;;Dica: Se você não consegue explicar algo, isso não significa que você está lidando com algo que é auto-evidente, pode ser apenas sua falha em explicar algo. ;Referências: Esta é uma falácia lógica frequentemente usada na Internet. Nenhuma fonte acadêmica foi encontrada. Para o conceito de autoevidência, foi utilizada a seguinte referência: ;
Apelo ao rancor;argumentum ad odium;;;Descrição: Substituir despeito (má vontade ou ódio mesquinho pela disposição de irritar, aborrecer ou frustrar) como evidência em um argumento ou como razão para apoiar ou rejeitar uma reivindicação. ;Forma Lógica: A reivindicação X é feita. A reivindicação X está associada à coisa Y pela qual as pessoas sentem rancor. Portanto, X é verdadeiro/falso. ;Exemplo 1: Você não está cansado da divisão política neste país? Os republicanos sabem do que estão falando quando se trata de imigração. Você não concorda? ;Explicação: Esta é uma maneira inteligente de fazer com que alguém concorde com sua reivindicação. O argumentador começou apresentando uma ideia comum que muitas pessoas desprezam - divisão política (coisa Y). Em seguida, fez uma reivindicação (reivindicação X) na qual a pessoa teria que mostrar divisão política para rejeitar, com efeito, fazendo com que a pessoa substituísse a razão por despeito na ideia de divisão política. ;Exemplo #2: Jon: Por que eu deveria me preocupar em me exercitar enquanto minha esposa está de férias se enchendo de comida? ;Explicação: As razões para o exercício são independentes das ações da esposa de Jon. A alegação aqui é que Jon não deveria se preocupar em se exercitar. A afirmação está associada à ideia de que sua esposa está "enchendo a cara de comida" (algo que Jon sente rancor). Jon conclui que não deve se exercitar. Se Jon estivesse usando a razão em vez da emoção do despeito, ele encontraria outro motivo para não se exercitar - como o fato de estar muito atrasado nas reprises de The Golden Girls. ;;;;;Exceção: isso não se aplica a argumentos emocionais e relativamente insignificantes. Sib: Cara, você pode me dar uma carona até o shopping? Eddie: Você quer dizer no meu carro sobre o qual você disse que era "apenas um pouco melhor do que andar em um burro bêbado"? Irmão: Sim. Eddie. Não. Você não merece um passeio em meu belo automóvel. A alegação é que Sib não merece uma carona no carro de Eddie (uma afirmação emocional/subjetiva). Embora Eddie apele ao rancor em sua razão, ele tem o direito de fazê-lo neste caso. ;;;Dica: seja feliz. Evite o despeito em todas as suas formas. ;Referências: ;
Apelo à Estupidez;;;;Descrição: Tentar fazer com que o público desvalorize a razão e o discurso intelectual, ou desvalorizar a razão e o discurso intelectual com base na retórica de um argumentador. ;Forma Lógica: A pessoa 1 minimiza a importância da razão, da lógica ou da ciência. A pessoa 1 faz uma afirmação, argumento ou afirmação. O público é mais propenso a aceitar reivindicações, argumentos ou afirmações. ;Exemplo 1: Anthony: Você sabe o que há de errado conosco hoje? Pensamos demais! Precisamos agir mais com o coração e a intuição! Hoje é o primeiro dia do resto da sua vida! Inscreva-se no meu programa de 30 dias agora por apenas $ 999,99! Público: (Aplausos incontroláveis). ;Explicação: É uma técnica de persuasão comum levar as pessoas a um estado emocional e fazer com que tomem uma decisão emocional nesse estado. Isso é exatamente o que Anthony está fazendo aqui enquanto mina a importância do pensamento crítico. ;Exemplo #2: Político: O outro cara gosta de jogar estatísticas e dados para mostrar o quanto a economia melhorou. Mas dados e estatísticas não alimentam nossos filhos. Você sente isso. A economia piorou! Sentimentos são mais importantes que fatos. ;Explicação: Há aqui um forte apelo emocional acompanhado da desvalorização das estatísticas e dos dados (ou seja, dos fatos) em favor dos sentimentos para responder a uma pergunta objetiva: a economia melhorou? ;;;;;Exceção: não confunda o apelo à estupidez com um argumento racional. Argumentos racionais não estão sujeitos à razão e são propriamente baseados em sentimentos. Assim, pedir às pessoas que deixem de lado a “razão” não é falacioso. Mãe: Qual cachorro você quer? Criança: Eles são todos tão fofos e adoráveis. Parecem todos saudáveis... Não consigo decidir! Mãe: Vai com a tua intuição. Por qual deles você tem os sentimentos mais fortes? ;;;Dica: Se escolher entre filhotes de litro, não escolha o mais maluco. ;Referências: Esta é uma falácia lógica frequentemente usada na Internet. Nenhuma fonte acadêmica foi encontrada. ;
Apelo à Tradição;argumentum ad antiquitatem;(também conhecido como: apelo à prática comum, apelo à antiguidade, apelo à sabedoria tradicional, prova da tradição, apelo à prática passada, sabedoria tradicional) ;;Descrição: Usar as preferências históricas do povo (tradição), em geral ou tão específicas quanto as preferências históricas de um único indivíduo, como evidência de que a preferência histórica está correta. Muitas vezes as tradições são passadas de geração em geração sem outra explicação além de “sempre foi feito assim” – o que não é um motivo, é a ausência de um motivo. ;Formas Lógicas: Temos feito X por gerações. Portanto, devemos continuar fazendo X. Nossos ancestrais achavam que X estava certo. Portanto, X está certo. ;Exemplo 1: Dave: Por cinco gerações, os homens de nossa família foram para Stanford e se tornaram médicos, enquanto as mulheres se casaram e criaram filhos. Portanto, é meu dever me tornar um médico. Kaitlin: Você quer se tornar um médico? Dave: Não importa - é a tradição da nossa família. Quem sou eu para quebrá-lo? ;Explicação: Assim como são necessárias pessoas para iniciar tradições, são necessárias pessoas para encerrá-las. Uma tradição não é uma razão para ação – é como assistir ao mesmo filme repetidamente, mas nunca se perguntar por que você deve continuar assistindo. ;Exemplo #2: O casamento tem sido tradicionalmente entre um homem e uma mulher, portanto, o casamento gay não deve ser permitido. ;Explicação: Muitas vezes as tradições derivam de crenças religiosas e/ou arcaicas, e até que as pessoas questionem a lógica e o raciocínio por trás de tais tradições, as pessoas que são afetadas negativamente por tais tradições continuarão a sofrer. Só porque era aceitável em culturas e tempos passados, não significa que seja aceitável hoje. Pense em racismo, sexismo, escravidão e punição corporal. ;;;;;Exceção: Tradições sem vítimas que são preservadas para preservar as próprias tradições não requerem nenhum outro motivo. ;;;Dica: Se não fosse a criatividade dos nossos antepassados, não teríamos tradições. Seja criativo e comece suas próprias tradições que de alguma forma tornam o mundo um lugar melhor. ;Referências: ;
Apelo à confiança;;(também conhecido como:  apelo à desconfiança [oposto], apelo à confiabilidade) ;;Descrição: A crença de que, se uma fonte é considerada confiável ou não confiável, qualquer informação dessa fonte deve ser verdadeira ou falsa, respectivamente. Isso é problemático porque cada argumento, reivindicação ou proposição deve ser avaliado por seus próprios méritos. Isso não inclui confiar em alguém ou em algo. Por exemplo, quando confiamos que nossos filhos tomarão as decisões certas em uma determinada situação, não estamos usando um raciocínio falacioso. Quando confiamos que nossos cintos de segurança funcionarão quando necessário, não estamos usando um raciocínio falacioso. Quando confiamos que nosso cachorro vai nos deixar um presente no tapete se não o deixarmos sair até as 7h, não estamos usando um raciocínio falacioso. Quando expressamos confiança em alguém, estamos essencialmente expressando um grau de confiança, não fazendo uma afirmação absoluta de que algo é verdadeiro ou falso. ;Formas Lógicas: Source X é uma fonte confiável de informações. A reivindicação Y foi feita pela fonte X. Portanto, a afirmação Y deve ser verdadeira. Fonte X é uma fonte de informação não confiável. A reivindicação Y foi feita pela fonte X. Portanto, a afirmação Y deve ser falsa. ;Exemplo 1: Li no Wall Street Journal que barriga de porco é um bom investimento. Então, eu poderia pedir emprestado um milhão de dólares para investir? ;Explicação: O Wall Street Journal pode razoavelmente ser visto como uma fonte confiável (não importa se você concorda ou não, contanto que o argumentador pense que sim). Nesse caso, a informação parece ser mais uma opinião do que um fato – e uma previsão de investimento, que por sua natureza é arriscada e, portanto, seu valor de verdade é questionável. ;Exemplo #2: Cindy: Li no Global Enquirer que Bingo Kelly, a famosa estrela de cinema, está em reabilitação. Jack: Isso é poppycock! Você não pode confiar no Global Enquirer mais do que pode confiar em uma criança com uma pistola de pregos. ;Explicação: O Global Enquirer pode não ser conhecido por seu jornalismo de alta qualidade e reportagens verdadeiras. No entanto, mesmo as fontes menos confiáveis às vezes compartilham informações verdadeiras. Embora possa ser uma boa heurística (regra de ouro) ser altamente cético em relação a quaisquer alegações de uma fonte não confiável, tais alegações não podem ser descartadas com tanta confiança sem um bom motivo. ;;;;;Exceção: Enquanto alguém reivindicar um grau de confiança em vez de assumir verdadeiro ou falso, não há falácia. A confiabilidade afeta o nível de confiança que se deve ter, mas não a certeza. ;;;Dica: tente manter seu nível de confiança proporcional ao seu nível de confiança. ;Referências: Esta é uma falácia lógica frequentemente usada na Internet. Nenhuma fonte acadêmica foi encontrada. ;
Apelo à Lei;;;;Descrição: Quando seguir a lei é considerado a coisa moralmente correta a se fazer, sem justificativa, ou quando infringir a lei é considerado a coisa moralmente errada a se fazer, sem justificativa. ;Formas Lógicas: X é ilegal. Portanto, é imoral. Y é legal. Portanto, é moral. ;Exemplo 1: Tom: Pretendo me acorrentar à escavadeira para que não derrubem o centro de idosos. Judy: Isso é simplesmente errado. Você vai ser preso. Não seja uma pessoa má! ;Explicação: A desobediência civil é apenas um exemplo de algo que é ilegal, mas não precisa ser imoral. As leis são criadas por muitas razões, e apenas algumas são criadas por razões "morais" (de acordo com o código moral de alguém). ;Exemplo #2: Lucy: Traí meu marido outra noite. Rob: Por que você fez isso!? Lúcia: Calma! Não é como se trapacear fosse ilegal ou algo assim. ;Explicação: Novamente, a lei e o código moral de uma pessoa não são a mesma coisa. Embora haja uma sobreposição, assumir que ilegal é imoral ou legal é moral sem um argumento racional conectando os dois conceitos é falacioso. ;;;;;Exceção: Às vezes, o que é ilegal é claramente imoral e nenhuma justificativa é necessária. Por exemplo, se alguém dissesse: "Como você pôde chutar aquela velha enquanto ria? Isso é uma coisa horrível de se fazer e você pode ir para a cadeia!" ;;;Dica: As leis se tornam arcaicas quando não acompanham as normas sociais e as mudanças culturais. O que antes era considerado "imoral" pode facilmente mudar para "moral" dentro de alguns anos e vice-versa. Nunca assuma simplesmente que as leis são boas e corretas, exigir justificação. ;Referências: Esta é uma falácia lógica original nomeada pelo autor. ;
Apelo à Lua;;(também conhecido como: argumentum ad lunam) ;;Descrição: Usando o argumento “Se pudermos colocar um homem na lua, poderíamos...” como evidência para o argumento. Esta é uma forma específica da analogia fraca. ;Forma Lógica: Se podemos colocar um homem na lua, podemos X. ;Exemplo 1: Se pudermos colocar um homem na lua, podemos curar todas as formas de câncer. ;Explicação: Colocar um homem na lua é visto como uma tarefa virtualmente impossível, mas desde que o fizemos, o raciocínio (defeituoso) é que podemos então fazer qualquer tarefa virtualmente impossível. Lembre-se de que mera possibilidade não é o mesmo que probabilidade. Esses tipos de argumentos não estão sugerindo a mera possibilidade, mas probabilidade, com base no fato de que conseguimos levar um homem à lua. ;Exemplo #2: Se a NASA pode colocar um homem na lua, certamente você pode dormir comigo esta noite. ;Explicação: Esta é uma analogia ainda pior. As realizações da NASA são independentes de nossas realizações pessoais. ;;;;;Exceção: se o argumento for para levar o homem à lua novamente, isso funcionaria. Se conseguimos colocar um homem na lua em 1969, podemos fazê-lo hoje. ;;;Dica: Acredite no possível, apenas não conte com isso, a menos que seja provável. ;Referências: Esta é uma falácia lógica frequentemente usada na Internet. Nenhuma fonte acadêmica foi encontrada. ;
